City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
239,sao felix do xingu,-6.6447,-51.995,23.73,98,100,0.64,BR,1706897011
240,chukhloma,58.7525,42.6825,-5.51,94,99,3.58,RU,1706897011
241,lompoc,34.6391,-120.4579,14.36,63,0,2.68,US,1706897012
242,christchurch,-43.5333,172.6333,9.97,87,7,0.45,NZ,1706896816
243,lubao,14.9167,120.55,24.84,87,24,2.39,PH,1706897012
244,bonthe,7.5264,-12.505,28.95,69,32,5.86,SL,1706897012
245,mili,6.0815,171.735,27.98,76,100,9.7,MH,1706897012
246,vilyuchinsk,52.9306,158.4028,-18.93,83,35,4.45,RU,1706897013
247,thunder bay,48.4001,-89.3168,-5.01,58,20,1.03,CA,1706897013
248,geraldton,-28.7667,114.6,21.23,83,0,3.09,AU,1706897013
249,port-vila,-17.7338,168.3219,27.26,85,88,3.19,VU,1706897014
250,mosonmagyarovar,47.8679,17.2699,8.05,79,95,4.49,HU,1706897014
251,sola,-13.8833,167.55,27.43,84,100,10.83,VU,1706897014
252,santo antonio,-6.3106,-35.4789,33.02,42,56,7.57,BR,1706897015
253,olinda,-8.0089,-34.8553,30.85,62,40,6.17,BR,1706896719
254,yelan',50.949,43.7378,-1.44,96,97,6.34,RU,1706897015
255,xai-xai,-25.0519,33.6442,23.72,75,40,3.85,MZ,1706897016
256,vanimo,-2.6741,141.3028,25.53,89,100,2.47,PG,1706897016
257,praia da vitoria,38.7333,-27.0667,19.31,88,40,3.91,PT,1706897016
258,namibe,-15.1961,12.1522,25.7,83,81,4.12,AO,1706897016
259,zakharivka,47.3333,29.75,1.58,76,30,5.32,UA,1706897017
260,solikamsk,59.6196,56.7729,-10.07,89,83,4.53,RU,1706897017
261,sunan,39.1983,125.69,-4.66,87,100,1.04,KP,1706897017
262,port saint john's,-31.6229,29.5448,24.65,82,19,8.81,ZA,1706897018
263,las palmas,28.4204,-14.0131,19.44,43,0,5.14,ES,1706897018
264,khorixas,-20.3667,14.9667,26.01,61,89,6.46,NA,1706897018
265,nangis,48.5554,3.0131,8.66,91,38,2.92,FR,1706897018
266,paraiso,9.8383,-83.8656,24.48,92,97,1.2,CR,1706896753
267,esikhaleni,-28.871,31.8996,24.34,76,13,6.4,ZA,1706897019
268,iskateley,67.6803,53.1512,-6.1,89,85,10.28,RU,1706897019
269,tyukalinsk,55.8732,72.1967,-23.41,100,96,1.64,RU,1706897019
270,rice lake,45.5061,-91.7382,-0.82,86,100,3.09,US,1706896925
271,faget,45.85,22.1833,3.81,84,77,1.24,RO,1706897020
272,college,64.8569,-147.8028,-38.64,63,0,0.0,US,1706896872
273,nabire,-3.3667,135.4833,24.36,97,100,1.46,ID,1706897020
274,machico,32.7,-16.7667,20.4,81,40,2.57,PT,1706897020
275,martapura,-3.4167,114.85,25.05,100,75,1.03,ID,1706897021
276,kingston,17.997,-76.7936,27.31,73,75,3.09,JM,1706896934
277,tual,-5.6667,132.75,28.76,78,68,7.34,ID,1706897021
278,ta`u,-14.2336,-169.5144,28.32,76,100,4.88,AS,1706897021
279,tomatlan,19.9333,-105.25,30.78,37,0,2.7,MX,1706897022
280,dhidhdhoo,6.8833,73.1,27.54,75,58,5.35,MV,1706897022
281,khanty-mansiysk,61.0042,69.0019,-20.5,77,20,1.0,RU,1706897022
282,tympaki,35.0729,24.7685,10.12,68,25,1.34,GR,1706897022
283,martakert,40.2104,46.821,3.61,60,0,1.09,AZ,1706897023
284,sol'-iletsk,51.1631,54.9918,-0.19,98,99,5.53,RU,1706897023
285,zaragoza,41.6561,-0.8773,15.45,66,0,3.6,ES,1706896980
286,kittila,67.6647,24.8936,-7.44,93,100,4.63,FI,1706897023
287,burang,30.25,81.1667,-10.76,77,36,1.81,CN,1706897023
288,arraial do cabo,-22.9661,-42.0278,27.98,78,75,5.14,BR,1706897024
289,lycksele,64.5954,18.6735,-1.98,80,40,4.12,SE,1706897024
290,tazacorte,28.629,-17.9293,22.86,49,0,2.57,ES,1706897024
291,finspang,58.7058,15.7674,6.51,88,100,7.29,SE,1706897024
292,yangchun,22.1667,111.7833,18.74,97,14,0.72,CN,1706897025
293,petropavlovsk-kamchatsky,53.0452,158.6483,-19.75,75,0,4.47,RU,1706897025
294,alice springs,-23.7,133.8833,30.12,20,98,3.09,AU,1706897025
295,nurota,40.5614,65.6886,1.4,45,63,4.59,UZ,1706897025
296,gokwe,-18.2048,28.9349,20.3,62,72,2.43,ZW,1706897025
297,cobourg,50.2667,10.9667,7.08,79,84,0.45,DE,1706897026
298,wotho,10.1657,166.0102,26.73,85,82,9.84,MH,1706897026
299,tottori,35.5,134.2333,4.73,63,100,3.03,JP,1706897026
300,nahiyat al fuhud,30.9697,46.7228,13.21,35,4,4.05,IQ,1706897026
301,teruel,40.6667,-0.6667,4.8,81,23,1.21,ES,1706896921
302,luau,-10.7073,22.2247,18.6,98,100,2.02,AO,1706897027
303,manismata,-2.4667,111.0333,23.56,98,99,1.2,ID,1706897027
304,kavieng,-2.5744,150.7967,27.74,81,99,3.01,PG,1706897027
305,tanumah,27.1,44.1333,11.43,31,0,3.29,SA,1706897028
306,puerto armuelles,8.2833,-82.8667,31.99,71,58,1.79,PA,1706897028
307,ouagadougou,12.3642,-1.5383,32.07,12,58,5.14,BF,1706896806
308,chernolesskoye,44.7156,43.7133,1.94,98,100,3.31,RU,1706897028
